image,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle
jeffrey-f-lin-QXzHGRXyYHE-unsplash.jpg,161.42,170.29,178.66,179.01,177.26,173.57
lawrence-crayton-IsSxH3_6WlE-unsplash.jpg,133.49,64.37,,,34.89,14.39
anastase-maragos-iUzgePOoGko-unsplash.jpg,164.96,177.25,179.94,179.77,166.39,176.94
alonso-reyes-0HlI76m4jxU-unsplash.jpg,163.17,162.08,87.95,165.27,100.92,176.31
rezli-QDSAgKr1cvo-unsplash.jpg,130.57,144.55,174.35,170.51,177.99,171.04
istockphoto-1293917526-612x612.jpg,6.64,8.92,,,,
26e3315e0c4cb6e8ba29a6c20f25a7f9.jpg,151.6,165.3,101.87,94.6,112.28,164.01
vertical-full-length-shot-of-sporty-young-adult-muslim-woman-wearing-hijab-exercising-in-modern-gym-using-stationary-bicycle-machine-2GPDRG1.jpg,118.68,114.02,131.88,156.83,135.31,176.77
27.jpg,179.6,170.0,152.37,172.83,174.32,127.11
6.jpg,113.98,40.63,144.18,146.34,136.0,172.0
1.jpg,81.37,75.86,11.19,24.04,160.09,166.65
4.jpg,173.09,175.94,69.57,66.54,133.64,121.04
20.jpg,111.64,150.57,113.46,108.54,83.22,55.09
23.jpg,138.75,171.7,126.38,129.93,141.53,175.39
10.jpg,146.93,168.28,35.42,74.46,117.18,154.21
5.jpg,100.49,141.47,171.66,95.67,158.63,104.93
9.jpg,172.41,166.51,66.52,175.84,111.55,121.95
7.jpg,124.23,115.18,176.8,177.57,120.73,160.63
21.jpg,176.46,74.31,137.24,78.36,39.26,142.25
18.jpg,174.31,154.65,62.66,50.57,152.47,129.7
26.jpg,178.74,150.59,177.7,57.38,146.11,60.3
8.jpg,76.24,71.98,90.73,134.25,114.82,135.87
3.jpg,176.65,158.16,161.34,154.43,105.51,167.6
2.JPG,121.67,165.87,176.84,175.95,177.16,152.3
28.jpg,166.53,157.05,96.1,100.61,64.99,44.88
19.jpg,162.7,178.06,98.87,160.71,145.41,129.16
16.jpg,169.88,164.43,143.13,114.76,131.79,158.12
13.jpg,177.0,174.07,170.88,118.99,148.86,178.17
24.jpg,177.52,171.77,120.58,155.53,164.89,177.87
11.jpg,167.18,138.74,167.94,177.12,177.58,171.36
17.jpg,116.55,154.82,178.81,172.65,179.91,178.22
15.jpg,155.17,113.98,136.78,122.55,168.16,122.08
22.jpg,172.2,103.25,178.88,169.09,134.93,170.66
14.jpg,96.8,30.06,74.16,63.34,115.47,94.38
12.jpg,110.81,125.36,104.85,149.12,121.59,138.27
0.jpg,157.93,173.49,164.99,161.98,166.87,153.81
25.jpg,124.89,166.45,158.26,152.98,175.42,173.02
annotated_26e3315e0c4cb6e8ba29a6c20f25a7f9.jpg,150.06,176.24,109.7,68.55,117.46,169.43
annotated_alonso-reyes-0HlI76m4jxU-unsplash.jpg,163.89,161.6,86.66,165.45,100.89,176.19
annotated_anastase-maragos-iUzgePOoGko-unsplash.jpg,167.5,174.28,178.9,178.34,164.58,179.46
annotated_istockphoto-1293917526-612x612.jpg,106.98,147.87,,,27.49,11.66
annotated_jeffrey-f-lin-QXzHGRXyYHE-unsplash.jpg,162.31,173.01,179.08,179.32,175.77,175.02
annotated_lawrence-crayton-IsSxH3_6WlE-unsplash.jpg,132.1,60.51,,,34.17,14.15
annotated_rezli-QDSAgKr1cvo-unsplash.jpg,,147.1,29.73,22.53,175.46,174.5
annotated_vertical-full-length-shot-of-sporty-young-adult-muslim-woman-wearing-hijab-exercising-in-modern-gym-using-stationary-bicycle-machine-2GPDRG1.jpg,112.03,122.87,132.66,154.31,134.56,174.75
annotated_27.jpg,179.4,143.68,145.46,173.96,161.34,121.76
annotated_6.jpg,116.57,37.9,145.43,149.53,137.7,169.13
annotated_1.jpg,85.85,87.79,173.5,176.4,164.59,162.87
annotated_4.jpg,172.73,176.04,69.14,66.63,134.16,121.47
annotated_20.jpg,113.06,128.5,112.61,77.11,86.99,57.96
annotated_23.jpg,137.84,172.36,126.53,130.0,141.24,175.83
annotated_10.jpg,146.54,167.26,35.96,67.06,120.79,148.08
annotated_5.jpg,101.19,140.74,172.18,95.55,159.08,105.65
annotated_9.jpg,171.32,169.98,64.27,175.02,110.48,119.0
annotated_7.jpg,136.13,114.19,161.46,177.28,125.46,161.42
annotated_21.jpg,175.02,73.61,127.09,67.77,33.98,131.13
annotated_18.jpg,173.0,148.97,59.95,44.89,154.67,124.76
annotated_26.jpg,179.99,148.94,174.17,56.7,143.44,57.64
annotated_8.jpg,67.15,70.47,106.28,128.75,116.79,135.46
annotated_3.jpg,176.29,159.37,66.39,176.89,93.34,86.08
annotated_28.jpg,168.63,157.15,92.27,101.95,57.84,43.08
annotated_19.jpg,151.55,178.67,121.31,162.9,150.3,132.04
annotated_16.jpg,171.38,161.79,142.55,112.45,130.78,156.16
annotated_13.jpg,176.78,168.46,168.39,117.46,145.35,179.77
annotated_24.jpg,178.73,169.31,119.11,158.01,164.07,176.67
annotated_11.jpg,165.9,139.3,168.71,179.96,179.29,168.8
annotated_17.jpg,115.96,153.71,179.5,172.5,179.52,178.44
annotated_15.jpg,127.1,110.86,134.37,124.92,175.02,118.24
annotated_22.jpg,171.58,102.48,177.53,169.75,132.65,169.56
annotated_14.jpg,105.79,31.88,67.61,62.13,116.55,99.38
annotated_12.jpg,93.01,90.91,89.44,132.63,133.87,144.05
annotated_0.jpg,158.02,174.13,170.36,171.99,171.81,154.79
annotated_25.jpg,123.88,167.18,158.04,151.35,175.98,172.01
